Comment,Designator,Footprint,LCSC Part #
ADG707,U$1 U$2 U$3 U$4 U$5 U$6,TSSOP-28,
CAPACITOR_0603_10V_1UF,C1 C2 C3 C4 C5 C6 C7,0603-CAP,
CONNECTOR-2_MICROFIT_SMD_RIGHTANGLE_02_SINGLE_BLACK,J14,MOLEX_MICROFIT_SMD_RIGHTANGLE_02_SINGLE,
RESISTOR_0603_3.3K,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37 R38 R39 R40 R41 R42 R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R53 R54 R55 R56 R57 R58 R59 R60 R61 R62 R63 R64 R65 R66 R67 R68 R69 R70 R71 R72 R73 R74 R75 R76 R77 R78 R79 R80 R81 R82 R83 R84 R85 R86 R87 R88 R89 R90 R91 R92 R93 R94 R95 R96,0603-RES,
SCHOTTKY_SOD323_30V,D1,SOD-323,
ZENER_SMB(DO-214AA)_13V,D2,SMB(DO-214AA),
