Designator,Mid X,Mid Y,Layer,Rotation
3V3,91.69,-76.89,Top,90.0
5V,96.77,-76.84,Top,90.0
12V,101.85,-76.84,Top,90.0
24V,106.93,-76.84,Top,90.0
BOTS,118.11,-73.28,Top,0.0
BRB,112.27,-73.28,Top,0.0
C1,80.77,-53.47,Top,270.0
C2,80.77,-50.42,Top,90.0
C3,59.94,-59.05,Top,225.0
C4,69.72,-68.58,Top,225.0
C5,75.18,-51.44,Top,45.0
C6,61.21,-60.33,Top,225.0
C7,65.02,-50.80,Top,135.0
C8,144.02,-58.29,Top,0.0
C9,78.87,-60.33,Top,315.0
C10,-14.22,-67.44,Top,270.0
C11,-22.86,-72.26,Top,0.0
C12,-22.86,-74.30,Top,0.0
C13,81.41,-57.79,Top,315.0
C14,86.87,-41.40,Top,270.0
C15,173.48,-60.33,Top,180.0
C16,-19.30,-61.85,Top,0.0
C17,177.04,-63.25,Top,90.0
C18,52.32,-48.77,Top,0.0
C19,52.32,-50.55,Top,0.0
C20,158.75,-64.90,Top,90.0
C21,165.35,-64.90,Top,270.0
C22,61.85,-74.68,Top,270.0
C24,131.57,-56.52,Top,0.0
C25,103.12,-60.83,Top,0.0
C26,80.26,-73.53,Top,0.0
C27,80.26,-71.88,Top,0.0
C28,80.14,-59.05,Top,315.0
C29,71.76,-74.68,Top,90.0
C33,148.08,-58.55,Top,180.0
C34,94.49,-67.44,Top,0.0
C38,93.98,-64.39,Top,270.0
C39,92.08,-64.39,Top,270.0
C40,135.64,-56.52,Top,180.0
D1,52.83,-72.14,Top,180.0
D2,136.53,-80.01,Top,180.0
D3,123.70,-78.87,Top,90.0
D4,118.11,-78.87,Top,90.0
D5,112.27,-78.87,Top,90.0
D6,130.56,-48.39,Top,82.0
INERTIA,123.70,-73.28,Top,0.0
J1,96.65,-43.56,Top,172.0
J2,115.70,-46.10,Top,172.0
J3,29.46,-76.84,Top,0.0
J4,-2.79,-52.96,Top,188.0
J5,50.80,-57.66,Top,270.0
J7,66.93,-40.89,Top,270.0
J8,52.58,-76.71,Top,0.0
J9,40.89,-62.48,Top,0.0
J10,78.74,-79.50,Top,0.0
J11,18.54,-49.91,Top,188.0
MCU_LED,69.77,-50.80,Top,315.0
NEOPIXELS,158.24,-48.13,Top,352.0
R1,67.56,-48.64,Top,315.0
R2,101.85,-80.14,Top,90.0
R3,124.97,-69.22,Top,90.0
R4,119.38,-69.22,Top,90.0
R5,113.54,-69.22,Top,90.0
R6,91.72,-80.21,Top,90.0
R7,73.91,-41.27,Top,270.0
R8,122.43,-69.22,Top,270.0
R9,170.43,-60.33,Top,0.0
R11,172.97,-69.98,Top,0.0
R12,116.84,-69.22,Top,270.0
R13,168.15,-64.90,Top,90.0
R14,111.00,-69.22,Top,270.0
R15,78.23,-53.47,Top,225.0
R16,37.85,-48.64,Top,8.0
R17,48.26,-73.41,Top,0.0
R18,56.90,-73.41,Top,180.0
R19,42.55,-57.91,Top,180.0
R20,71.25,-42.55,Top,90.0
R21,96.77,-80.21,Top,90.0
R36,105.28,-63.50,Top,180.0
R60,105.28,-65.15,Top,180.0
R83,106.93,-80.14,Top,90.0
RN2,-28.45,-65.15,Top,90.0
RN4,-28.45,-68.96,Top,90.0
S1,80.52,-41.27,Top,180.0
SPI1_MOSI,47.88,-48.39,Top,0.0
SPI1_SCK,59.69,-48.39,Top,0.0
SPI3_MOSI,86.49,-72.90,Top,270.0
SPI3_SCK,73.15,-71.50,Top,0.0
TP_3.3V,91.69,-73.03,Top,90.0
TP_5V,96.77,-73.03,Top,90.0
TP_12V,101.85,-73.03,Top,90.0
TP_24V,106.93,-73.03,Top,90.0
TP_GND,128.78,-80.90,Top,0.0
U$6,162.05,-64.90,Top,0.0
U3,-20.07,-67.18,Top,90.0
U5,171.96,-65.15,Top,180.0
U16,70.10,-59.82,Top,135.0
U17,66.93,-77.22,Top,180.0
U27,99.70,-64.39,Top,270.0
X1,83.57,-51.94,Top,90.0
XF1,143.76,-50.16,Top,352.0
