"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","DKPN","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"4","14","CAPACITOR_0603_25V_0.1UF","C1, C2, C4, C5","250","0.1µF","1276-1006-1-ND","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","10%","25V","","",
"1","11","CAPACITOR_0603_25V_1UF","C3","1000","1µF","1276-1184-1-ND","Samsung Electro-Mechanics","187-CL10B105KA8NNNC","CL10B105KA8NNNC","","","10%","25V","","",
"1","3","CONNECTOR-2_MICROFIT_SMD_RIGHTANGLE_02_SINGLE_BLACK","J2","200","","WM14310CT-ND","Molex","538-43650-0214","0436500214","","","","","","",
"2","4","CONNECTOR-4_μF_S_RA_","J4, J5","100","","WM1832CT-ND","Molex","538-0430450411","0430450411","","","","","","",
"2","4","CONNECTOR-8_AMPHENOL_M12A_08PMMP_","J1, J3","100","","1754-1026-ND","Amphenol LTW","523-M12A08PMMPSF8001","M12A-08PMMP-SF8001","","","","","","",
"1","3","INA823DT","U3","200","","296-INA823DTCT-ND","Texas Instruments","595-INA823DT","INA823DT","","","","","","",
"3","5","OPAMP_1_CHANNEL_OPA991","U2, U4, U5","67","","296-OPA991IDCKRCT-ND","Texas Instruments","595-OPA991IDCKR","OPA991IDCKR","","","","","","",
"2","12","RESISTOR_0603_10.5K","R6, R9","500","","P10.5KDBCT-ND","Panasonic Electronic Components","677-ERA-3AEB1052V","ERA-3AEB1052V","0.1W","10.5k","0.1%","","32.40V","75V",
"2","12","RESISTOR_0603_10K","R3, R7","500","","311-10.0KHRCT-ND","Yageo","603-RC0603FR-0710KL","RC0603FR-0710KL","0.1W","10k","1%","","31.62V","75V",
"1","11","RESISTOR_0603_1K","R1","1000","","1712-CPF-A-0603B1K0ETR-ND","TE Connectivity Passive Product","279-CPF-A-0603B1K0E"," CPF-A-0603B1K0E","0.0625W","1k","0.1%","","7.9V","50V",
"3","13","RESISTOR_0603_2.74K","R4, R5, R8","333","","P20020CT-ND","Panasonic Electronic Components","667-ERJ-PB3B2741V","ERJ-PB3B2741V","0.2W","2.74k","0.1%","","23.41V","150V",
"1","11","RESISTOR_0603_22.1K","R2","1000","","P22.1KDBCT-ND","Panasonic Electronic Components","667-ERA-3AEB2212V","ERA-3AEB2212V","0.1W","22.1k","0.1%","","47.01V","75V",
"1","3","VOLTAGE_REFERENCE__10V","U6","200","","  MAX6176AASA+-ND","Maxim Integrated","700-MAX6176AASA","MAX6176AASA+","","","","","","",
"1","3","VOLTAGE_REGULATOR_SOT-89_15V","U1","200","","NCP785AH150T1GOSTR-ND","ON Semiconductor","863-NCP785AH150T1G","NCP785AH150T1G","","","","","","",
