Designator,Mid X,Mid Y,Layer,Rotation
3.3V,91.69,19.69,Top,0.0
5V,91.82,25.53,Top,0.0
12V,91.69,30.99,Top,0.0
24V,91.95,35.81,Top,0.0
AMS_OK,107.19,25.65,Top,0.0
BSPD_CURRENT,63.02,35.33,Top,180.0
C1,68.99,65.31,Top,90.0
C2,68.98,68.53,Top,270.0
C3,85.60,68.33,Top,270.0
C4,85.60,65.15,Top,90.0
C5,104.39,67.31,Top,90.0
C6,104.39,63.25,Top,270.0
C7,211.07,26.42,Top,180.0
C8,36.20,35.05,Top,0.0
C9,136.53,38.23,Top,90.0
C10,135.00,38.23,Top,90.0
C11,128.75,41.86,Top,180.0
C12,122.84,39.13,Top,0.0
C13,175.39,28.70,Top,270.0
C14,13.23,11.81,Top,270.0
C15, 8.00,17.75,Top,180.0
C16,44.70,35.05,Top,0.0
C17,53.47,20.70,Top,180.0
C18,149.22,51.44,Top,270.0
C19,150.88,51.44,Top,270.0
C20,157.99,47.88,Top,0.0
C21,166.67,52.15,Top,180.0
C22,179.07,28.70,Top,90.0
C23,14.55, 7.90,Top,180.0
C24,23.93,17.63,Top,0.0
C25,21.77,23.16,Top,180.0
C26,55.63,12.95,Top,270.0
C27,57.15,12.95,Top,270.0
C28,61.21,15.72,Top,270.0
C29,117.35,19.05,Top,270.0
C30,146.18,21.97,Top,180.0
C31,141.86,18.67,Top,180.0
C32,143.41,22.00,Top,180.0
C33,136.91,19.18,Top,270.0
C34,149.22,20.07,Top,0.0
C36,150.27,17.96,Top,270.0
C37,159.89,17.40,Top,90.0
C38,23.11, 8.43,Top,0.0
C39,20.40, 5.49,Top,180.0
C40,26.77,19.61,Top,270.0
C41,28.98, 5.59,Top,180.0
C42,33.07,12.42,Top,90.0
C43,42.16, 7.39,Top,270.0
C52,176.91,40.64,Top,270.0
C53,175.39,40.64,Top,90.0
C54,211.20,32.26,Top,180.0
C55,110.24,48.39,Top,180.0
C56,113.41,45.85,Top,180.0
C57,110.44,43.82,Top,180.0
C61,127.08,21.72,Top,180.0
C62,122.30,18.16,Top,180.0
C63,124.36,21.74,Top,180.0
C64,129.79,19.43,Top,0.0
C65,130.68,17.27,Top,270.0
CURRENT_REF,62.99,29.72,Top,0.0
CURRENT_SENSE,53.39,29.72,Top,0.0
CUR_SHUNT,118.11,46.36,Top,0.0
D1,54.74,63.50,Top,180.0
D2,61.85,67.06,Top,180.0
D3,133.73,64.39,Top,270.0
D4,140.08,67.06,Top,90.0
D5,149.48,67.18,Top,90.0
D6,162.81,67.18,Top,90.0
D7,172.09,66.80,Top,0.0
D8,185.04,66.80,Top,90.0
D9,64.01,20.70,Top,180.0
D10,52.76, 7.21,Top,0.0
D11,64.90,56.90,Top,180.0
F1,70.38,22.73,Top,270.0
F2,67.18,14.35,Top,270.0
IMD_OK,106.93,30.86,Top,0.0
K1,37.59, 7.62,Top,0.0
OKHS,201.17,52.07,Top,0.0
PACK+_OUT_TEST,37.97,23.62,Top,0.0
PC_OK,113.16,35.81,Top,0.0
PRECHARGE_OK,106.93,36.07,Top,180.0
Q1,51.18,59.94,Top,90.0
Q2,132.28,60.81,Top,90.0
Q3,69.34,18.67,Top,270.0
Q4,56.39, 5.71,Top,180.0
Q5,64.52,52.58,Top,180.0
R1,53.98,59.87,Top,270.0
R2,55.50,59.89,Top,270.0
R3,131.19,65.79,Top,90.0
R4,121.16,70.23,Top,0.0
R5,136.40,61.09,Top,270.0
R6,134.87,61.09,Top,270.0
R7,143.26,68.07,Top,270.0
R8,143.26,65.02,Top,270.0
R9,153.03,68.33,Top,270.0
R10,153.03,65.15,Top,270.0
R11,166.24,68.33,Top,270.0
R12,166.24,65.28,Top,270.0
R13,176.15,65.66,Top,180.0
R14,176.28,67.82,Top,0.0
R15,188.47,68.45,Top,270.0
R16,188.49,65.15,Top,270.0
R17,202.18,57.02,Top,0.0
R18,198.12,52.07,Top,0.0
R19,205.74,57.02,Top,0.0
R20,116.59,57.02,Top,0.0
R21,131.06,56.39,Top,90.0
R22,38.23,32.38,Top,90.0
R23,46.61,32.51,Top,90.0
R24,103.25,36.07,Top,180.0
R25,103.25,30.86,Top,0.0
R26,125.65,39.12,Top,0.0
R27,125.64,37.59,Top,0.0
R28,173.10,25.78,Top,180.0
R29,172.72,28.19,Top,180.0
R30,181.74,27.69,Top,0.0
R31,181.74,26.16,Top,0.0
R32,231.65,32.13,Top,270.0
R33,10.41,14.10,Top,0.0
R34, 7.24,12.75,Top,0.0
R35, 8.00,10.54,Top,270.0
R36,13.34,14.10,Top,0.0
R37, 8.56,22.56,Top,270.0
R38,10.08,22.56,Top,270.0
R39, 6.93,20.78,Top,270.0
R40,12.19,20.52,Top,270.0
R41,34.67,29.97,Top,0.0
R42,37.72,29.97,Top,180.0
R43,43.05,29.97,Top,0.0
R44,46.10,29.97,Top,180.0
R45,173.10,24.13,Top,180.0
R46,60.33,20.70,Top,180.0
R47,63.50,18.16,Top,0.0
R48,103.25,25.65,Top,0.0
R49,87.88,35.81,Top,0.0
R50,163.58,50.77,Top,180.0
R51,163.57,52.30,Top,180.0
R52,11.43, 3.05,Top,90.0
R53,11.56, 5.97,Top,90.0
R54,12.95, 3.05,Top,90.0
R55, 7.24,14.27,Top,0.0
R56,15.11, 3.05,Top,90.0
R57,11.63, 8.97,Top,90.0
R58,17.42,14.12,Top,270.0
R59,18.21,17.07,Top,270.0
R60,16.66,17.07,Top,270.0
R61,23.32,15.42,Top,90.0
R62, 9.27,24.84,Top,180.0
R63,18.80,20.96,Top,90.0
R64,19.56,23.88,Top,90.0
R65,18.03,23.88,Top,90.0
R66,13.72,20.52,Top,270.0
R67,23.88,21.29,Top,270.0
R68,52.55,18.21,Top,270.0
