Designator,Mid X,Mid Y,Layer,Rotation
R79,148.25,-55.28,Top,90.0
R80,149.41,-46.60,Top,180.0
R81,159.44,-51.87,Top,270.0
R82,159.06,-43.86,Top,180.0
R83,-31.74,-61.74,Top,90.0
R84,-31.72,-65.13,Top,90.0
R85,-30.09,-61.74,Top,90.0
R86,-27.41,-61.84,Top,270.0
R87,-20.13,-64.24,Top,0.0
R88,-11.99,-64.13,Top,0.0
R89,-0.24,-61.66,Top,90.0
R90, 7.44,-63.76,Top,180.0
R91,10.52,-59.69,Top,180.0
R92,10.57,-62.16,Top,180.0
R93,10.57,-63.81,Top,180.0
R94,27.48,-61.54,Top,270.0
R95,44.68,-58.29,Top,0.0
R96,69.20,-57.77,Top,0.0
R97,105.62,-62.72,Top,0.0
R98,105.62,-64.25,Top,180.0
R99,123.52,-62.59,Top,0.0
R100,123.52,-64.12,Top,180.0
R101,156.67,-57.83,Top,0.0
R102,166.37,-40.06,Top,90.0
R103,177.11,-39.88,Top,0.0
R104,180.42,-39.88,Top,0.0
R105,212.50,-41.53,Top,270.0
T1,203.20,-20.20,Top,90.0
T2,203.20,-38.62,Top,90.0
TD+,222.05,-22.94,Top,180.0
TD+2,223.42,-26.80,Top,270.0
TD-,222.05,-15.16,Top,0.0
TD-2,214.99,-26.80,Top,90.0
TEENSY_OK,163.20,-43.82,Top,180.0
TP_3.3V,80.73,-57.80,Top,0.0
TP_5V,80.67,-53.85,Top,0.0
TP_12V,80.71,-49.73,Top,0.0
TP_24V,80.77,-44.96,Top,0.0
TP_AMS_OK,80.83,-39.90,Top,0.0
TP_GND,90.78,-57.85,Top,0.0
TP_IMD_OK,80.71,-35.94,Top,0.0
TP_TSAL_GREEN,53.16,-57.81,Top,180.0
TP_TSAL_RED,52.76,-48.11,Top,180.0
TS+_OUT_TEST,90.74,-35.92,Top,180.0
TSAL_GREEN,44.70,-56.46,Top,0.0
TSAL_RED,45.03,-47.07,Top,0.0
U1,66.91,-6.71,Top,270.0
U2,85.24,-8.02,Top,90.0
U3,85.27,-17.17,Top,90.0
U4,-9.17,-35.99,Top,0.0
U5, 1.15,-36.10,Top,0.0
U6,106.02,-26.99,Top,270.0
U7,172.20,-32.90,Top,270.0
U8,-25.09,-46.24,Top,180.0
U9,-8.52,-44.24,Top,180.0
U10,106.38,-37.90,Top,270.0
U11,-28.97,-54.30,Top,270.0
U12,-17.33,-52.28,Top,270.0
U13,-8.90,-55.43,Top,270.0
U14, 6.48,-47.86,Top,0.0
U15,25.62,-47.56,Top,90.0
U16,109.56,-51.18,Top,270.0
U17,116.42,-51.56,Top,270.0
U18,127.72,-50.95,Top,270.0
U19,134.50,-51.84,Top,270.0
U20,150.54,-55.28,Top,180.0
U21,156.70,-54.73,Top,0.0
U22,-28.99,-65.17,Top,270.0
U23,-20.08,-61.89,Top,270.0
U24,-12.05,-61.76,Top,270.0
U25,-3.67,-61.84,Top,270.0
U26, 7.56,-60.94,Top,0.0
U27,25.11,-57.97,Top,270.0
U28,109.17,-63.48,Top,270.0
U29,116.54,-64.25,Top,270.0
U30,127.97,-62.98,Top,270.0
U31,134.57,-64.50,Top,270.0
U32,172.24,-41.70,Top,270.0
WATCHDOG,155.07,-46.57,Top,180.0
WATCHDOG_INPUT,155.04,-50.16,Top,0.0
