Designator,Mid X,Mid Y,Layer,Rotation
+5V,36.58,-58.42,Top,0.0
+24V,43.18,-58.17,Top,0.0
C1,104.65,-11.94,Top,270.0
C2,37.08,-12.95,Top,0.0
C3,43.31,-8.64,Top,270.0
C4,36.58,-17.53,Top,180.0
C5,97.28,-17.27,Top,0.0
C6,45.21,-29.72,Top,0.0
C7,88.14,-19.56,Top,180.0
C8,88.14,-22.61,Top,180.0
C9,38.61,-26.42,Top,90.0
C10,107.06,-29.59,Top,90.0
C11,90.30,-31.62,Top,180.0
C12,93.47,-31.62,Top,180.0
C13,99.31,-31.75,Top,180.0
C15,99.31,-34.04,Top,180.0
C16,94.36,-34.16,Top,0.0
C17,103.38,-34.29,Top,0.0
C18,90.30,-34.04,Top,180.0
C19,100.58,-51.56,Top,180.0
C20,91.95,-52.07,Top,180.0
C21,100.58,-54.10,Top,180.0
C22,91.95,-54.61,Top,180.0
C23,83.57,-61.72,Top,180.0
C24,56.13,-62.23,Top,90.0
C25,57.91,-62.23,Top,90.0
C26,72.90,-62.23,Top,90.0
C27,74.68,-62.23,Top,90.0
D2,28.70,-11.30,Top,0.0
D3,21.34,-50.80,Top,0.0
D4,21.34,-54.36,Top,0.0
D5,21.34,-57.66,Top,0.0
D6,21.34,-60.96,Top,0.0
D7,88.14,-63.50,Top,270.0
D8,21.34,-64.52,Top,0.0
EN/UVLO,25.65,-23.11,Top,0.0
GND,30.48,-58.42,Top,0.0
IP+,42.93,-53.85,Top,0.0
IP-,42.93,-50.04,Top,0.0
IT+,36.58,-50.04,Top,0.0
IT-,30.23,-50.04,Top,0.0
LED_+12V,108.20,-15.49,Top,90.0
PACK+,18.29,-27.69,Top,0.0
PACK+FUSED,18.54,-32.26,Top,0.0
PACK_DIV_OUT,32.51,-32.26,Top,0.0
PRECHARGE_OK,36.58,-54.10,Top,0.0
Q1,48.01,-11.18,Top,0.0
R1,108.20,-8.64,Top,90.0
R2,47.50,-16.26,Top,90.0
R3,40.13,-12.95,Top,180.0
R4,43.94,-13.21,Top,90.0
R5,36.58,-20.32,Top,180.0
R6,36.58,-22.35,Top,0.0
R7,40.39,-26.42,Top,90.0
R8,91.44,-26.54,Top,0.0
R9,104.69,-26.63,Top,0.0
R10,97.16,-26.67,Top,0.0
R11,100.97,-26.67,Top,0.0
R12,45.21,-27.43,Top,180.0
R14,91.44,-28.96,Top,0.0
R15,96.27,-29.59,Top,270.0
R16,109.35,-32.64,Top,270.0
R17,111.76,-32.64,Top,270.0
R18,107.06,-32.77,Top,90.0
R19,109.22,-36.58,Top,270.0
R20,201.93,-37.85,Top,270.0
R21,109.47,-40.39,Top,270.0
R22,112.27,-40.39,Top,270.0
R24,111.25,-48.77,Top,90.0
R25,24.64,-50.80,Top,0.0
R26,24.64,-54.36,Top,180.0
R27,24.64,-57.66,Top,0.0
R28,88.14,-60.45,Top,0.0
R29,24.64,-60.96,Top,0.0
R30,98.30,-60.96,Top,90.0
R31,24.64,-64.52,Top,0.0
R32,79.25,-65.79,Top,270.0
R33,89.66,-67.06,Top,0.0
R34,81.53,-69.34,Top,0.0
R35,85.09,-69.34,Top,0.0
R37,32.00,-11.68,Top,270.0
R38,34.54,-11.68,Top,90.0
R39,33.27,-15.24,Top,90.0
R40,32.00,-23.37,Top,90.0
R41,28.96,-23.37,Top,90.0
SHDN,30.48,-54.10,Top,0.0
TS+10V,25.65,-27.69,Top,0.0
TS+12V,25.65,-32.26,Top,0.0
TS-FUSED,39.62,-32.26,Top,0.0
TS-UNFUSED,198.37,-60.45,Top,0.0
TS_DIV_OUT,32.51,-27.69,Top,0.0
U1,98.87,-11.93,Top,90.0
U2,41.91,-21.08,Top,180.0
U3,91.69,-42.67,Top,180.0
U4,100.58,-42.67,Top,180.0
U5,106.17,-56.64,Top,270.0
U10,83.57,-65.53,Top,270.0
