"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","BATTERY_TYPE","CAPACITANCE","COLOR","CURRENT","DKPN","MANUFACTURER","MOPN","MPN","POWER","RESET_VOLTAGE","RESISTANCE","TEENSY","TIMEOUT","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","3","ADM8316WBX30","U31","200","","","","","ADM8316WBX30ARJZR7TR-ND","Analog Devices Inc.","584-M8316WBX30ARJZR7","ADM8316WBX30ARJZR7","","3V","","","102ms","","","","",
"1","3","BATTERY_HOLDER_KEYSTONE_498","XB1","200","1/3N","","","","36-498-ND","Keystone Electronics","534-498","498","","","","","","","","","",
"1","3","BUTTON","S1","200","","","","","SW415-ND ","Omron","653-B3S-1000","B3S-1000","","","","","","","","","",
"30","40","CAPACITOR_0603_10V_0.1UF","C1, C6, C9, C10, C14, C15, C16, C17, C18, C19, C20, C22, C25, C29, C33, C35, C41, C46, C51, C57, C58, C59, C60, C62, C63, C67, C68, C69, C70, C75","33","","0.1µF","","","720-1688-1-ND","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","","","5%","10V","","",
"2","12","CAPACITOR_0603_10V_10NF","C32, C37","500","","10nF","","","311-4054-1-ND","Yageo","603-CC603KRX7R6BB103","CC0603KRX7R6BB103","","","","","","10%","10V","","",
"2","12","CAPACITOR_0603_10V_15PF","C21, C23","500","","15pF","","","720-VJ0603A150FXQPW1BCCT-ND","Vishay Vitramon","77-VJ0603A150FXQPBC","VJ0603A150FXQPW1BC","","","","","","1%","10V","","",
"21","31","CAPACITOR_0603_10V_1UF","C2, C11, C13, C26, C30, C34, C39, C40, C44, C45, C49, C50, C52, C56, C64, C73, C74, C78, C79, C82, C83","48","","1µF","","","311-1796-1-ND","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","","","","10%","10V","","",
"2","12","CAPACITOR_0603_10V_4.7NF","C24, C61","500","","4.7nF","","","732-7931-1-ND","Würth Elektronik","710-885012206012","885012206012","","","","","","10%","10V","","",
"12","22","CAPACITOR_0603_16V_0.47UF","C36, C38, C42, C43, C47, C48, C71, C72, C76, C77, C80, C81","83","","0.47µF","","","445-5192-1-ND","  TDK Corporation","810-C1608X7R1C474K","  C1608X7R1C474K080AC","","","","","","10%","16V","","",
"1","11","CAPACITOR_0603_25V_1.2NF","C31","1000","","1.2nF","","","311-4079-2-ND","YAGEO","603-CC603KRX7R8BB122 ","CC0603KRX7R8BB122","","","","","","10%","25V","","",
"3","13","CAPACITOR_0603_25V_10UF","C4, C5, C28","333","","10µF","","","490-7202-1-ND","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","","","","20%","25V","","",
"2","12","CAPACITOR_0603_50V_1UF","C7, C8","500","","1uF","","","587-2400-2-ND","Taiyo Yuden","963-UMK107BJ105KA-T","UMK107BJ105KA-T","","","","","","10%","50V","","",
"1","11","CAPACITOR_0805_50V_10UF","C27","1000","","10uF","","","490-18663-2-ND","Murata","81-GRM21BR61H106KE3L"," GRM21BR61H106KE43L","","","","","","10%","50V","","",
"1","3","CAPACITOR_ELECTROLYTIC_EEH_AZS_470UF","C3","200","","470uF","","","10-EEH-AZS1V471BCT-ND","Panasonic Electronic Components","667-EEH-AZS1V471B","EEH-AZS1V471B","","","","","","20&","35V","","",
"2","4","CONNECTOR-24_CONNECTOR-24_","J1, J2","100","","","","","EHT-112-01-F-D-ND","Samtec","200-EHT11201FD","EHT-112-01-F-D","","","","","","","","","",
